number,steps
17828259369,1213
13371194527,1210
20056791791,1208
19334416521,1195
14500812391,1192
12235060455,1184
18352590683,1182
20646664519,1177
19298027167,1164
12212032815,1153
18318049223,1151
17387835787,1138
13040876841,1135
19561315260,1133
19561315261,1133
19561315262,1133
9780657630,1132
9780657631,1132
4890328815,1131
4890328815,1131
4890328815,1131
14670986446,1130
14670986447,1130
7335493223,1129
7335493223,1129
7335493223,1129
7335493223,1129
11003239835,1127
16504859753,1125
12378644814,1122
12378644815,1122
6189322407,1121
6189322407,1121
6189322407,1121
6189322407,1121
18567967222,1120
18567967223,1120
9283983611,1119
13925975417,1117
20888963126,1115
20888963127,1115
10444481563,1114
15666722345,1112
11750041759,1109
17625062639,1107
19295252713,1102
19295252715,1102
20136615963,1102
14471439535,1099
20774773479,1097
10853579649,1096
16280369474,1094
16280369475,1094
16280369479,1094
8140184737,1093
8140184737,1093
8140184737,1093
8140184737,1093
12210277106,1091
12210277107,1091
6105138553,1090
6105138553,1090
6105138553,1090
6105138553,1090
18315415660,1089
18315415661,1089
18315415662,1089
9157707830,1088
9157707831,1088
4578853915,1087
4578853915,1087
4578853915,1087
13736561746,1086
13736561747,1086
6868280873,1085
6868280873,1085
6868280873,1085
6868280873,1085
20604842620,1084
20604842621,1084
20604842622,1084
20604842623,1084
10302421310,1083
10302421311,1083
5151210655,1082
5151210655,1082
5151210655,1082
15453631966,1081
15453631967,1081
7726815983,1080
7726815983,1080
7726815983,1080
7726815983,1080
11590223975,1078
16993923675,1076
17385335963,1076
17385336039,1076
19118164135,1071
19558502959,1071
16502486823,1063
18565297686,1058
18565297687,1058
18565297689,1058
18565297695,1058
18565297705,1058
9282648843,1057
13859561451,1055
13923973257,1055
13923973265,1055
13923973266,1055
13923973267,1055
13923973279,1055
13923973359,1055
6961986633,1054
6961986633,1054
6961986633,1054
6961986633,1054
20789342177,1053
20885959886,1053
20885959887,1053
20885959896,1053
20885959898,1053
20885959900,1053
20885959901,1053
20885959911,1053
20885959919,1053
20885959947,1053
20885959963,1053
20885960039,1053
10442979943,1052
10442979948,1052
10442979949,1052
10442979950,1052
5221489974,1051
5221489974,1051
5221489974,1051
5221489975,1051
5221489975,1051
5221489975,1051
2610744987,1050
2610744987,1050
2610744987,1050
15592006633,1050
15664469915,1050
15664469924,1050
15664469925,1050
15664469926,1050
15664469961,1050
15832042651,1050
7832234962,1049
7832234962,1049
7832234962,1049
7832234962,1049
7832234963,1049
7832234963,1049
7832234963,1049
7832234963,1049
3916117481,1048
3916117481,1048
3916117481,1048
11694004975,1047
11748352444,1047
11748352445,1047
11748352446,1047
11748352470,1047
11748352471,1047
11900594247,1047
5874176222,1046
5874176222,1046
5874176222,1046
5874176222,1046
5874176223,1046
5874176223,1046
5874176223,1046
5874176223,1046
5874176235,1046
5874176235,1046
5874176235,1046
5874176235,1046
2937088111,1045
2937088111,1045
2937088111,1045
17541007463,1045
17622528654,1045
17622528655,1045
17622528668,1045
17622528669,1045
17622528670,1045
17622528706,1045
17622528707,1045
17811047983,1045
17850891371,1045
18648890209,1045
8811264327,1044
8811264327,1044
8811264327,1044
8811264327,1044
8811264334,1044
8811264334,1044
8811264334,1044
8811264334,1044
8811264335,1044
8811264335,1044
8811264335,1044
8811264335,1044
8811264353,1044
8811264353,1044
8811264353,1044
8811264353,1044
4405632167,1043
4405632167,1043
4405632167,1043
13216896491,1042
13216896502,1042
13216896503,1042
13216896530,1042
13216896531,1042
13216896639,1042
13986667657,1042
6608448251,1041
6608448251,1041
6608448251,1041
6608448251,1041
6608448265,1041
6608448265,1041
6608448265,1041
6608448265,1041
19825344726,1040
19825344727,1040
19825344737,1040
19825344754,1040
19825344755,1040
19825344796,1040
19825344797,1040
19825344798,1040
19825344959,1040
19825344990,1040
19825344991,1040
20082252793,1040
9912672363,1039
9912672377,1039
9912672398,1039
9912672399,1039
9912672495,1039
10490000743,1039
4956336199,1038
4956336199,1038
4956336199,1038
14869008545,1037
14869008553,1037
14869008566,1037
14869008567,1037
14869008598,1037
14869008599,1037
14869008743,1037
15061689595,1037
15735001115,1037
7434504283,1036
7434504283,1036
7434504283,1036
7434504283,1036
7434504299,1036
7434504299,1036
7434504299,1036
7434504299,1036
11151756409,1034
11151756415,1034
11151756425,1034
11151756449,1034
16727634614,1032
16727634615,1032
16727634619,1032
16727634623,1032
16727634638,1032
16727634639,1032
16727634674,1032
16727634675,1032
16727634687,1032
16944400795,1032
17701876255,1032
8363817307,1031
8363817307,1031
8363817307,1031
8363817307,1031
8363817319,1031
8363817319,1031
8363817319,1031
8363817319,1031
8363817337,1031
8363817337,1031
8363817337,1031
8363817337,1031
12545725961,1029
12545725979,1029
12545726006,1029
12545726007,1029
12545726127,1029
